Student       Assign-01       Assign-02       Assign-03       Assign-05       Assign-05       
Leo       95       76       52       80       70       
Melissa       93       93       64       100       57       
Angel       76       69       85       73       54       
Ferdaws       76       98       70       53       94       
Cali       95       55       50       91       68       
Mitchell       89       56       91       79       91       
Ola       59       92       94       77       86       
Ze       74       92       66       85       89       
Alvin       83       50       53       52       86       
Cassandra       86       58       66       62       51       
Nicole       78       78       93       55       84       
Maria       97       54       95       58       96       
Patricia       70       85       85       53       52       
Fady       55       72       78       100       100       
Mohammed       69       98       74       57       87       
                                          
